sku,unit,description,pmu,db_nr,category
A150,pcs,Dado per vite di taratura,0.2485,0,3
A236,pcs,Contatto elastico,0.2127,176,3
A236 MOD.,pcs,Contatto elastico,0.2215,315,3
A354,pcs,Contatto mobile per magnetotermico,2.3817,1,3
A355,pcs,Morsetto,2.7232,2,3
A356,pcs,,4.6504,3,3
A357,pcs,,3.4724,4,3
A357/1,pcs,,3.1492,5,3
A358,pcs,,2.9725,6,3
A359,pcs,Portacontatto in ferro,3.7520,7,3
A359/CU,pcs,Portacontatto in rame,4.2390,8,3
A359CU/800,pcs,,3.3831,526,3
A359CU/900,pcs,,3.6552,525,3
A360/1,pcs,,7.3568,10,3
A361,pcs,,1.4372,11,3
A395,pcs,,1.3890,12,3
A395/1,pcs,,1.3677,394,3
A396,pcs,,1.4149,13,3
A396/1,pcs,,1.3680,370,3
A397,pcs,,1.5876,14,3
A398,pcs,,1.5739,15,3
A400,pcs,,1.7936,16,3
A401,pcs,,2.5282,191,3
A446,pcs,,0.9762,17,3
A463,pcs,,2.8563,18,3
A483,pcs,,3.1560,19,3
A485,pcs,,1.8016,20,3
A485/2,pcs,,1.8648,181,3
A493,pcs,,0.4357,458,3
A494,pcs,,0.4880,460,3
A504,pcs,,0.7320,21,3
A504/H68,pcs,,0.6855,219,3
A505,pcs,,0.4079,22,3
A544,pcs,,3.2640,213,3
A545,pcs,,7.7900,182,3
A545/1,pcs,,7.4413,183,3
A545/1/CU,pcs,,8.7871,373,3
A545/Cu,pcs,,9.0982,372,3
A557,pcs,,0.3969,465,3
A558,pcs,,0.5674,462,3
A559,pcs,,0.7516,463,3
A559/1,pcs,,0.7335,464,3
A563,pcs,,0.9021,496,3
A76,pcs,,1.1300,23,3
A77,pcs,,1.7484,24,3
A78,pcs,,2.3286,25,3
B118,pcs,,1.8286,26,3
B119,pcs,,1.3137,27,3
B120,pcs,,0.3380,28,3
B171,pcs,,0.3155,29,3
B176,pcs,,0.3292,419,3
B30,pcs,,2.7337,332,3
C154,pcs,,0.2195,30,3
C156,pcs,,0.3402,31,3
C159,pcs,,0.1947,32,3
C170,pcs,,0.1282,33,3
C200,pcs,,0.9804,34,3
C201,pcs,,0.1577,35,3
C202,pcs,,0.1890,36,3
C203,pcs,,0.1099,37,3
C212,pcs,,0.2130,38,3
C213,pcs,,3.0665,171,3
C221,pcs,,0.6856,39,3
C222,pcs,,0.4136,40,3
C223,pcs,,2.9901,41,3
C228,pcs,,0.1022,531,3
C229,pcs,,0.3238,474,3
C232,pcs,,2.7069,530,3
C233,pcs,,1.0986,532,3
C29/1,pcs,,0.5518,42,3
C30,pcs,,2.3672,44,3
C31,pcs,,1.1714,45,3
C31/1,pcs,,1.1681,46,3
C37/1,pcs,,1.8117,47,3
C38/1,pcs,,2.4659,48,3
C56,pcs,,1.3324,333,3
D118,pcs,,0.6399,49,3
D119,pcs,,0.1855,50,3
D120,pcs,,0.1830,51,3
D123,pcs,,0.1744,494,3
D126,pcs,Molla - Contatto ausiliario,0.1153,540,3
D50,pcs,,0.0877,52,3
D51,pcs,,0.0620,53,3
D55,pcs,,0.0773,54,3
D56,pcs,,0.0732,55,3
D57,pcs,,0.5012,56,3
D60,pcs,,0.0690,177,3
D61/1,pcs,,0.0293,57,3
D61/2,pcs,,0.0532,58,3
D61/3,pcs,,0.0835,59,3
D61/4,pcs,,0.0318,60,3
D61/A,pcs,,0.0285,61,3
D61/C,pcs,,0.0671,62,3
D75,pcs,,0.0823,63,3
D86,pcs,,0.0862,64,3
D89,pcs,,0.2644,65,3
D89/1,pcs,,0.2638,179,3
D90,pcs,,0.1731,66,3
D91/1,pcs,,0.1625,67,3
D92,pcs,,0.0300,68,3
D93,pcs,,0.1171,69,3
D94,pcs,,0.1705,70,3
D95,pcs,,0.0102,71,3
D96,pcs,,0.0240,72,3
E222,pcs,,0.8610,73,3
E223,pcs,,7.7502,202,3
E224,pcs,,0.5385,74,3
E237,pcs,,9.6800,203,3
E238,pcs,,10.5324,204,3
E239,pcs,,5.7401,205,3
E240,pcs,,3.0614,206,3
E242,pcs,,0.5140,75,3
E248,pcs,,10.3188,207,3
E251,pcs,,0.0738,76,3
E252,pcs,,0.9620,77,3
E253,pcs,,0.3898,180,3
E265,pcs,,1.2906,355,3
E270,pcs,,5.8517,208,3
E271,pcs,,7.6775,491,3
E272,pcs,,9.7148,515,3
E273,pcs,,1.0272,457,3
E279,pcs,,3.0764,209,3
E297,pcs,,2.9038,427,3
E298,pcs,,3.6092,428,3
E310,pcs,,5.1626,210,3
E311,pcs,,5.4202,211,3
E312,pcs,,3.8776,212,3
E332,pcs,,1.0363,78,3
E333,pcs,,1.5607,79,3
E354/1,pcs,,0.1775,80,3
E363,pcs,,1.2809,81,3
